"V01.00.000"
"$_Languages"
"9(1) Inglese (Stati Uniti)";"7(1) Tedesco (Germania)";"513(1) Key"
"$_Timestamp"
"02.10.2010  16:19:58";"27.09.2010  14:47:33";""
"$_Typ(LineComment)"
"Insert User program from here";"Hier Anwenderprogramm einfügen";""
"Status word MM4;";"Status word MM4;";""
" set VKE=1";" set VKE=1";""
" setpoint valid";" setpoint valid";""
" set VKE=0";" set VKE=0";""
" on / off ?";" on / off ?";""
" cw / cww ?";" cw / cww ?";""
" fault ackn.?";" fault ackn.?";""
" PZD2 - Drehzahlsollwert";" PZD2 - Drehzahlsollwert";""
" gültiger Drehzahlsollwert zwischen 0.00-50 Hz";" gültiger Drehzahlsollwert zwischen 0.00-50 Hz";""
" setpoint [Hz]";" setpoint [Hz]";""
" setpoinz >0Hz";" setpoinz >0Hz";""
" setpoint < 75Hz ?";" setpoint < 75Hz ?";""
" 2-Nachkommastellen retten";" 2-Nachkommastellen retten";""
"conversion of a 32-bit IEEE floating-point number to 32-bit integer";"conversion of a 32-bit IEEE floating-point number to 32-bit integer";""
" 16384 = 4000HEX = 50Hz";" 16384 = 4000HEX = 50Hz";""
" PZD 2 - Drehzahlistwert";" PZD 2 - Drehzahlistwert";""
"16383= 4000HEX = 50Hz";"16383= 4000HEX = 50Hz";""
"Control word MM4;";"Control word MM4;";""
