"V01.00.000"
"$_Languages"
"9(1) Inglese (Stati Uniti)";"7(1) Tedesco (Germania)"
"$_Timestamp"
"25.10.2012  10:40:01";"25.10.2012  10:40:01"
"$_Typ(BlockTitle)"
" Parameters for Baseprogram";" Parameter für Grundprogramm"
" Datainterface PI-Services";" Datenschnittstelle PI-Service"
" SPL dataarea";" SPL Daten"
" Basic program, interrupt-controlled section";" Grundprogramm, alarmgesteuerter Teil"
" Transfer block for tool change with revolver";" Transfer–Baustein für Werkzeugwechsel mit Revolver"
" Transfer block for tool management";" Transfer–Baustein für Werkzeugverwaltung"
" Start-up of asynchronous subprograms";" Start von asynchronen Unterprogrammen"
" Error and operating messages";" Fehler– und Betriebsmeldungen"
" Display control for handheld unit";" Displaysteuerung für Bedienhandgerät"
" Y/Delta Star/delta switchover";" Stern–/Dreieck Umschaltung"
" Spindle control";" Spindelsteuerung"
" Transmission of MCP signals to interface";" Übertragung der MSTT–Signale an die Nahtstelle"
" PLC NCK data exchange";" Datenaustausch PLC–NCK"
" Direction selection for tool management";" Richtungsauswahl für Werkzeugverwaltung"
" Transfer of MCP/OP signals to interface";" Übertragung der MSTT–/BT–Signale an die Nahtstelle"
" Basic program, start-up selection";" Grundprogramm, Anlaufteil"
" Read NC variables";" NC–Variable lesen"
" Write NC variables";" NC–Variable schreiben"
" General PI services";" Allgemeine PI–Dienste"
" Read GUD variable";" GUD–Variable lesen"
" M:N control unit switchover";" MzuN Bedieneinheitenumschaltung"
" Safety relay (SI relay)";" Sicherheits–Relais (SI–Relais)"
" Brake test";" Bremsentest"
