"V01.00.000"
"$_Languages"
"9(1) Inglese (Stati Uniti)";"7(1) Tedesco (Germania)"
"$_Timestamp"
"25.10.2012  10:40:01";"25.10.2012  10:40:01"
"$_Typ(SymbolComment)"
"Positioning of Linear- and Rotaryaxis";"Positionierung von Linear– und Rundachsen"
"PI-Services 2";"PI-Services 2 (Allgemeine PI Dienste)"
"Interface Spindle for Toolmanagment";"Schnittstelle: Werkzeugverw.: Wechsel in Spindel"
"Interface Revolver (Toolmanagment)";"Schnittstelle: Werkzeugverw.: Wechsel in Revolver"
"MCP-Signals to Interface, Variant small";"Übertragung der MSTT–Signale an die Nahtstelle (schmale Bedientafelfront)"
"MCP-Signals to Interface, Variant M";"Übertragung der MSTT–Signale an die Nahtstelle"
"Parameters for Baseprogram";"Parameter des Grundprogrammes"
"Y / Delta Control";"YDelta Stern–/Dreieck Umschaltung"
"Spindlecontrol / Part-, Positioning-axis";"Spindelsteuerung"
"SPL dataarea";"SPL Daten"
"read GUD-Variable";"GUD–Variable lesen"
"read NC Variable";"NC–Variable lesen"
"PI-Services 1";"PI-Services 1 (Allgemeine PI Dienste)"
"Datainterface PI-Services";"Schnittstelle für PI-Services"
"Transfer for Revolverchange";"Transfer–Baustein für Werkzeugwechsel mit Revolver"
"Directioncontrol for Toolmanagment Mag.";"Richtungsauswahl für Werkzeugverwaltung"
"Signal recorder and data trigger diagnostics";"Diagnose Signalrekorder und Datentrigger"
"Interface for Channel 1";"Schnittstelle Kanal 1"
"Displaycontrol for Handheld Unit";"Displaysteuerung für Bedienhandgerät"
"Interface for BAG";"Schnittstelle BAG"
"Interface Axis 3";"Schnittstelle Achse 3"
"Interface Axis 2";"Schnittstelle Achse 2"
"Interface Axis 1";"Schnittstelle Achse 1"
"asynchronous Subprograms";"Asynchrone Unterprogramme"
"Alarms & Messages";"Alarme und Meldungen"
"Interface for Alarms & Messages";"Schnittstelle für Alarme und Meldungen"
"Positioning of Partaxis";"Positionierung von Teilungsachsen"
"Interface NC";"Schnittstelle NC"
"Interface for Loading Station (Toolmanag.)";"Schnittstelle für Werkzeugverw.: Be–/Endladestellen"
"Read the System Time";"Systemzeit lesen"
"Several OPs/NCUs";"Bedieneinheitenumschaltung"
"MCP-Signals of PHG to Interface";"Übertragung der PHG / HT6–Signale an die Nahtstelle"
"Startup Baseprogram";"Grundprogramm, Anlaufteil"
"write NC Variable";"NC–Variable schreiben"
"Quick Datachannel";"Transfer Datenaustausch PLC–NCK"
"Transfer for Toolmanagment";"Transfer–Baustein für Werkzeugverwaltung"
"alarmtriggered Baseprogram";"Grundprogramm, alarmgesteuerter Teil"
"cyclic Baseprogram";"Grundprogramm, zyklischer Teil"
"Safety Integrated: Relais";"Sicherheits–Relais (SI–Relais)"
"Safety Integrated: Brake Test";"Bremsentest"
"Interface MMC-Signals";"Schnittstelle MMC-Signale"
"MCP-Signals to Interface, Variant T";"Übertragung der MSTT–/BT–Signale an die Nahtstelle"
